COD_CIR;Origen;Destino;Nom_orig;Nom_Des;Km;Res;Reac;tension;proy
LEC-004;SICN-22;SIEC-05;Huancavelica 220 kV;Mollepata 220 kV;92.2;0.0537;0.5068;220;0
LNE-041;SICN-28;SICN-24;Mantaro 220 kV;Huayucachi 220 kV;76.6;0.0556;0.5;220;1
LNE-132;SICN-24;SICN111;Huayucachi 220 kV;Orcotuna 220 kV;26.1;0.0578;0.5017;220;0
LNE-133;SICN111;SICN102;Orcotuna 220 kV;Huanza 220 kV;149.2;0.0579;0.5003;220;0
LNE-114;SICN102;SICN158;Huanza 220 kV;Carabayllo 220 kV;73.7;0.0579;0.5;220;0
LNE-034;SICN-28;SICN-43;Mantaro 220 kV;Pomacocha 220 kV;192.2;0.0603;0.5048;220;0
LNE-035;SICN-28;SICN-43;Mantaro 220 kV;Pomacocha 220 kV;192.2;0.0603;0.5048;220;0
LNEa034;SICN-28;SICN-24;Mantaro 220 kV;Huayucachi 220 kV;76.6;0.0603;0.5048;220;1
LNEa035;SICN-28;SICN-24;Mantaro 220 kV;Huayucachi 220 kV;76.6;0.0603;0.5048;220;1
LNEb034;SICN-24;SICN-43;Huayucachi 220 kV;Pomacocha 220 kV;115.6;0.0603;0.5048;220;1
LNEb035;SICN-24;SICN-43;Huayucachi 220 kV;Pomacocha 220 kV;115.6;0.0603;0.5048;220;1
LNE-039;SICN-28;SICN-37;Mantaro 220 kV;Pachachaca 220 kV;194.8;0.0601;0.5024;220;0
LNE-040;SICN-28;SICN-37;Mantaro 220 kV;Pachachaca 220 kV;194.8;0.0601;0.5024;220;0
LNEa039;SICN-28;SICN-24;Mantaro 220 kV;Huayucachi 220 kV;76.6;0.0601;0.5024;220;1
LNEa040;SICN-28;SICN-24;Mantaro 220 kV;Huayucachi 220 kV;76.6;0.0601;0.5024;220;1
LNEb039;SICN-24;SICN-37;Huayucachi 220 kV;Pachachaca 220 kV;118.2;0.0601;0.5024;220;1
LNEb040;SICN-24;SICN-37;Huayucachi 220 kV;Pachachaca 220 kV;118.2;0.0601;0.5024;220;1
LNE-025;SICN-43;SICN-48;Pomacocha 220 kV;San Juan 220 kV;113.1;0.0602;0.5018;220;0
LNE-026;SICN-43;SICN-48;Pomacocha 220 kV;San Juan 220 kV;113.1;0.0602;0.5018;220;0
LNE-027;SICN-37;SICN-43;Pachachaca 220 kV;Pomacocha 220 kV;13.5;0.0558;0.5033;220;0
LNE-028;SICN-37;SICN-06;Pachachaca 220 kV;Callahuanca 220 kV;72.6;0.0563;0.4888;220;0
LNE-029;SICN-37;SICN-06;Pachachaca 220 kV;Callahuanca 220 kV;72.6;0.0563;0.4888;220;0
LNE-030;SICN-30;SICN-06;Matucana 220 kV;Callahuanca 220 kV;22.5;0.075;0.501;220;0
LNE-a31;SICN-06;SICN046;Callahuanca 220 kV;Carapongo 220 kV;31;0.0736;0.4969;220;0
LNE-b31;SICN046;SICN-46;Carapongo 220 kV;Cajamarquilla 220 kV;5.4;0.0736;0.4969;220;0
LNE-a33;SICN-06;SICN046;Callahuanca 220 kV;Carapongo 220 kV;31;0.0736;0.4969;220;0
LNE-b33;SICN046;SICN-46;Carapongo 220 kV;Cajamarquilla 220 kV;5.4;0.0736;0.4969;220;0
LNE-032;SICN-46;SICN-13;Cajamarquilla 220 kV;Chavarria 220 kV;21.4;0.0736;0.4969;220;0
LNE-023;SICN-46;SICN-13;Cajamarquilla 220 kV;Chavarria 220 kV;21.4;0.0736;0.4969;220;0
LNX-175;SICN124;SICN046;Huinco 220 kV;Carapongo 220 kV;41;0.0736;0.5024;220;0
LNX-176;SICN124;SICN046;Huinco 220 kV;Carapongo 220 kV;41;0.0736;0.5024;220;0
LNX-075;SICN046;SICN-49;Carapongo 220 kV;Santa Rosa 220 kV;21;0.0736;0.5024;220;0
LNX-076;SICN046;SICN-49;Carapongo 220 kV;Santa Rosa 220 kV;21;0.0736;0.5024;220;0
LNE-149;SICN046;SICN146;Carapongo 220 kV;San Miguel 220 kV;7.6;0.0807;0.48;220;0
LNE-150;SICN046;SICN146;Carapongo 220 kV;San Miguel 220 kV;7.6;0.0807;0.48;220;0
LNX-085;SICN-85;SICN-37;Yanango 220 kV;Pachachaca 220 kV;89.4;0.05;0.52;220;0
LNX-080;SICN-85;SICN185;Yanango 220 kV;Yanango Nueva 220 kV;10.5;0.0522;0.3819;220;0
LNE-109;SICN-43;SICN-09;Pomacocha 220 kV;Carhuamayo 220 kV;106;0.0645;0.5137;220;0
LNE-043;SICN-34;SICN-37;Oroya 220 kV;Pachachaca 220 kV;21.6;0.0527;0.5088;220;0
LNE-088;SICN-34;SICN-09;Oroya 220 kV;Carhuamayo 220 kV;75.5;0.0562;0.4995;220;0
LNE-070;SICN-61;SICN-09;Yuncan 220 kV;Carhuamayo 220 kV;53.2;0.055;0.5088;220;0
LNE-071;SICN-61;SICN-09;Yuncan 220 kV;Carhuamayo 220 kV;53.2;0.055;0.5088;220;0
LNE-089;SICN-39;SICN-09;Paragsha 220 kV;Carhuamayo 220 kV;42.2;0.0562;0.4995;220;0
LNX-028;SICN-39;SICN-09;Paragsha 220 kV;Carhuamayo 220 kV;43.3;0.0566;0.4987;220;0
LNX-029;SICN-39;SICN-09;Paragsha 220 kV;Carhuamayo 220 kV;43.3;0.0566;0.4987;220;0
LNX-104;SICN-39;SICN107;Paragsha 220 kV;Francoise 220 kV;44.3;0.0649;0.5698;220;0
LNE-090;SICN-39;SICN-56;Paragsha 220 kV;Vizcarra 220 kV;123.9;0.0562;0.4995;220;0
LNX-032;SICN-56;SICN-80;Vizcarra 220 kV;Conococha 220 kV;46.8;0.0575;0.505;220;0
LNX-027;SICN-39;SICN-80;Paragsha 220 kV;Conococha 220 kV;140.2;0.0563;0.4948;220;0
LNX-018;SICN-56;SICN157;Vizcarra 220 kV;Antamina 220 kV;52.1;0.0576;0.5101;220;0
LNX-a19;SICN-56;SICN156;Vizcarra 220 kV;Yungas 220 kV;13;0.0564;0.5007;220;0
LNX-b19;SICN156;SICN157;Yungas 220 kV;Antamina 220 kV;44;0.0564;0.5007;220;0
LNX-119;SICN104;SICN212;Chaglla 220 kV;Huanuco 220 kV;57;0.0486;0.3783;220;0
LNX-120;SICN212;SICN-39;Huanuco 220 kV;Paragsha 220 kV;128.5;0.0486;0.3783;220;0
